CheetahProteinDescription,HumanName
cytoplasmic dynein 1 intermediate chain 2 isoform X3;cytoplasmic dynein 1 intermediate chain 2 isoform X4;cytoplasmic dynein 1 intermediate chain 2 isoform X2;cytoplasmic dynein 1 intermediate chain 2 isoform X5;cytoplasmic dynein 1 intermediate chain 2 isoform X1;cytoplasmic dynein 1 intermediate chain 2 isoform X6,Cytoplasmic dynein 1 intermediate chain 2
Cytoplasmic dynein 2 heavy chain 1,Cytoplasmic dynein 2 heavy chain 1
Dynein light chain ,"Dynein light chain 2, cytoplasmic "
"enoyl-CoA delta isomerase 1, mitochondrial isoform X1","Enoyl-CoA delta isomerase 1, mitochondrial"
extracellular matrix protein 1 isoform X1,Extracellular matrix protein 1
extracellular matrix protein 1 isoform X2,Extracellular matrix protein 1
Elongation factor 1-alpha,Elongation factor 1-alpha 1
Elongation factor 1-alpha,Elongation factor 1-alpha 2
Elongation factor 1-beta,Elongation factor 1-beta
Elongation factor 1-gamma,Elongation factor 1-gamma
elongation factor 2,Elongation factor 2
EGF-containing fibulin-like extracellular matrix protein 1,EGF-containing fibulin-like extracellular matrix protein 1
EGF-containing fibulin-like extracellular matrix protein 2,EGF-containing fibulin-like extracellular matrix protein 2
EF-hand domain-containing protein D2,EF-hand domain-containing protein D2
epidermal growth factor-like protein 8,Epidermal growth factor-like protein 8
EH domain-containing protein 1,EH domain-containing protein 1
EH domain-containing protein 2,EH domain-containing protein 2
EH domain-containing protein 3,EH domain-containing protein 3
EH domain-containing protein 4,EH domain-containing protein 4
Eukaryotic translation initiation factor 4C,"Eukaryotic translation initiation factor 1A, X-chromosomal"
Eukaryotic translation initiation factor 2 subunit 1,Eukaryotic translation initiation factor 2 subunit 1
Eukaryotic translation initiation factor 3 subunit B,Eukaryotic translation initiation factor 3 subunit B
Eukaryotic translation initiation factor 3 subunit D,Eukaryotic translation initiation factor 3 subunit D
Eukaryotic translation initiation factor 3 subunit L,Eukaryotic translation initiation factor 3 subunit L
RNA helicase,Eukaryotic initiation factor 4A-I
RNA helicase,Eukaryotic initiation factor 4A-II
eukaryotic translation initiation factor 4B isoform X1;eukaryotic translation initiation factor 4B isoform X2,Eukaryotic translation initiation factor 4B
eukaryotic translation initiation factor 4 gamma 1 isoform X2;eukaryotic translation initiation factor 4 gamma 1 isoform X6;eukaryotic translation initiation factor 4 gamma 1 isoform X1;eukaryotic translation initiation factor 4 gamma 1 isoform X3;eukaryotic translation initiation factor 4 gamma 1 isoform X7;eukaryotic translation initiation factor 4 gamma 1 isoform X4;eukaryotic translation initiation factor 4 gamma 1 isoform X5,Eukaryotic translation initiation factor 4 gamma 1
eukaryotic translation initiation factor 4 gamma 2,Eukaryotic translation initiation factor 4 gamma 2
Eukaryotic translation initiation factor 5A,Eukaryotic translation initiation factor 5A-1
Eukaryotic translation initiation factor 6,Eukaryotic translation initiation factor 6
neutrophil elastase-like,Neutrophil elastase 
EMILIN-1,EMILIN-1
echinoderm microtubule-associated protein-like 2 isoform X1,Echinoderm microtubule-associated protein-like 2
endonuclease domain-containing 1 protein,Endonuclease domain-containing 1 protein
2-phospho-D-glycerate hydro-lyase,Alpha-enolase
2-phospho-D-glycerate hydro-lyase,Gamma-enolase
2-phospho-D-glycerate hydro-lyase,Beta-enolase
Aminopeptidase,Glutamyl aminopeptidase
ectonucleotide pyrophosphatase/phosphodiesterase family member 1,Ectonucleotide pyrophosphatase/phosphodiesterase family member 1
ectonucleotide pyrophosphatase/phosphodiesterase family member 2 isoform X10;ectonucleotide pyrophosphatase/phosphodiesterase family member 2 isoform X8;ectonucleotide pyrophosphatase/phosphodiesterase family member 2 isoform X7;ectonucleotide pyrophosphatase/phosphodiesterase family member 2 isoform X9,Ectonucleotide pyrophosphatase/phosphodiesterase family member 2
AP3A hydrolase,Bis(5'-adenosyl)-triphosphatase ENPP4
alpha-endosulfine isoform X1,Alpha-endosulfine
Band 4.1,Protein 4.1
erythrocyte membrane protein band 4.2 isoform X1,Protein 4.2
epidermal growth factor receptor substrate 15 isoform X2,Epidermal growth factor receptor substrate 15
Aminopeptidase,Endoplasmic reticulum aminopeptidase 1
ERO1-like protein alpha isoform X1;ERO1-like protein alpha isoform X2,ERO1-like protein alpha
Endoplasmic reticulum resident protein 29,Endoplasmic reticulum resident protein 29
endothelial cell-selective adhesion molecule,Endothelial cell-selective adhesion molecule
S-formylglutathione hydrolase,S-formylglutathione hydrolase
extended synaptotagmin-1,Extended synaptotagmin-1
extended synaptotagmin-2 isoform X4;extended synaptotagmin-2 isoform X3;extended synaptotagmin-2 isoform X1;extended synaptotagmin-2 isoform X2,Extended synaptotagmin-2
Eukaryotic peptide chain release factor subunit 1,Eukaryotic peptide chain release factor subunit 1
Electron transfer flavoprotein subunit alpha,"Electron transfer flavoprotein subunit alpha, mitochondrial"
Electron transfer flavoprotein subunit beta,Electron transfer flavoprotein subunit beta
"persulfide dioxygenase ETHE1, mitochondrial isoform X1","Persulfide dioxygenase ETHE1, mitochondrial"
exocyst complex component 3 isoform X1,Exocyst complex component 3
exocyst complex component 3-like protein 4 isoform X1,Exocyst complex component 3-like protein 4
Exocyst complex component Sec8,Exocyst complex component 4
exostosin-2 isoform X1 ,Exostosin-2 
exostosin-like 2 isoform X1;exostosin-like 2 isoform X2,Exostosin-like 2
ezrin isoform X1,Ezrin
coagulation factor X,Coagulation factor X
coagulation factor XI isoform X1,Coagulation factor XI 
coagulation factor XI isoform X2,Coagulation factor XI 
Junctional adhesion molecule 1,Junctional adhesion molecule A
coagulation factor XII,Coagulation factor XII
coagulation factor XIII A chain,Coagulation factor XIII A chain
coagulation factor XIII B chain isoform X1,Coagulation factor XIII B chain
Prothrombin,Prothrombin
proteinase-activated receptor 4 isoform X1;proteinase-activated receptor 4 isoform X2,Proteinase-activated receptor 4
coagulation factor V,Coagulation factor V
Coagulation factor VII,Coagulation factor VII
coagulation factor VIII isoform X2;coagulation factor VIII isoform X1,Coagulation factor VIII
Christmas factor,Coagulation factor IX
"fatty acid-binding protein, heart","Fatty acid-binding protein, heart"
Adipocyte-type fatty acid-binding protein,"Fatty acid-binding protein, adipocyte "
fatty acid-binding protein 5,Fatty acid-binding protein 5
Fumarylacetoacetase,Fumarylacetoacetase
protein FAM114A2,Protein FAM114A2
protein FAM186B isoform X1,Protein FAM186B
extracellular serine/threonine protein kinase FAM20C,Extracellular serine/threonine protein kinase FAM20C
Phenylalanyl-tRNA synthetase beta subunit,Phenylalanine--tRNA ligase beta subunit
Fatty acid synthase,Fatty acid synthase
Fibulin-1,Fibulin-1
Fibulin-1,Fibulin-1
fibulin-2 isoform X3;fibulin-2 isoform X1,Fibulin-2
Fibulin-5,Fibulin-5
fibrillin-1 isoform X1,Fibrillin-1 [Cleaved into: Asprosin]
Fructose-bisphosphatase,"Fructose-1,6-bisphosphatase isozyme 2"
IgGFc-binding protein,IgGFc-binding protein
low affinity immunoglobulin gamma Fc region receptor III-like isoform X1;low affinity immunoglobulin gamma Fc region receptor III-like isoform X2,Low affinity immunoglobulin gamma Fc region receptor III-A 
Tyrosine-protein kinase ,Tyrosine-protein kinase Fer 
fermitin family homolog 3,Fermitin family homolog 3
fetuin-B,Fetuin-B
Fibrinogen alpha chain,Fibrinogen alpha chain [Cleaved into: Fibrinopeptide A; Fibrinogen alpha chain]
Fibrinogen beta chain,Fibrinogen beta chain [Cleaved into: Fibrinopeptide B; Fibrinogen beta chain]
fibrinogen gamma chain,Fibrinogen gamma chain
fibrinogen-like protein 1 isoform X1;fibrinogen-like protein 1 isoform X2,Fibrinogen-like protein 1
four and a half LIM domains protein 1 isoform X3,Four and a half LIM domains protein 1
FH1/FH2 domain-containing protein 1 isoform X1;FH1/FH2 domain-containing protein 1 isoform X2,FH1/FH2 domain-containing protein 1
Peptidylprolyl isomerase,Peptidyl-prolyl cis-trans isomerase FKBP11
Peptidylprolyl isomerase,Peptidyl-prolyl cis-trans isomerase FKBP1A
Peptidylprolyl isomerase,Peptidyl-prolyl cis-trans isomerase FKBP3
Peptidylprolyl isomerase,Peptidyl-prolyl cis-trans isomerase FKBP4
protein flightless-1 homolog isoform X1;protein flightless-1 homolog isoform X2,Protein flightless-1 homolog
filamin-A isoform X2;filamin-A isoform X1,Filamin-A
filamin-B isoform X4;filamin-B isoform X3;filamin-B isoform X6;filamin-B isoform X1;filamin-B isoform X5;filamin-B isoform X2,Filamin-B
filamin-C isoform X2;filamin-C isoform X4;filamin-C isoform X5;filamin-C isoform X6,Filamin-C
Flotillin,Flotillin-1
Flotillin,Flotillin-2
Vascular endothelial growth factor receptor 3,Vascular endothelial growth factor receptor 3
Fibronectin,Fibronectin
Fibronectin,Fibronectin
protein furry homolog isoform X7;protein furry homolog isoform X6;protein furry homolog isoform X1;protein furry homolog isoform X5;protein furry homolog isoform X2;protein furry homolog isoform X8;protein furry homolog isoform X3;protein furry homolog isoform X4,Protein furry homolog
Fascin,Fascin
FYN-binding protein 1 isoform X2;FYN-binding protein 1 isoform X3;FYN-binding protein 1 isoform X1,FYN-binding protein 1
ras GTPase-activating protein-binding protein 1,Ras GTPase-activating protein-binding protein 1
Glucose-6-phosphate 1-dehydrogenase,Glucose-6-phosphate 1-dehydrogenase
Chondroitinsulfatase,N-acetylgalactosamine-6-sulfatase
Polypeptide N-acetylgalactosaminyltransferase,Polypeptide N-acetylgalactosaminyltransferase 2
neutral alpha-glucosidase AB isoform X1;neutral alpha-glucosidase AB isoform X2,Neutral alpha-glucosidase AB
Glyceraldehyde-3-phosphate dehydrogenase,Glyceraldehyde-3-phosphate dehydrogenase
Diadenosine tetraphosphate synthetase,Glycine--tRNA ligase
protein FAM198A,Golgi-associated kinase 1A
"glutamine amidotransferase-like class 1 domain-containing protein 3A, mitochondrial ","Glutamine amidotransferase-like class 1 domain-containing protein 3B, mitochondrial "
Glucosylceramidase,Lysosomal acid glucosylceramidase
"1,4-alpha-glucan branching enzyme;1,4-alpha-glucan branching enzyme","1,4-alpha-glucan-branching enzyme"
Gc-globulin,Vitamin D-binding protein
Glutamate--cysteine ligase,Glutamate--cysteine ligase catalytic subunit
GCS light chain,Glutamate--cysteine ligase regulatory subunit
growth/differentiation factor 2,Growth/differentiation factor 2
Rab GDP dissociation inhibitor,Rab GDP dissociation inhibitor alpha
Rab GDP dissociation inhibitor,Rab GDP dissociation inhibitor beta
Folate gamma-glutamyl hydrolase,Gamma-glutamyl hydrolase
Golgi-associated plant pathogenesis-related protein 1 isoform X1,Golgi-associated plant pathogenesis-related protein 1
Lactoylglutathione lyase,Lactoylglutathione lyase
Glyoxalase domain-containing protein 4,Glyoxalase domain-containing protein 4
glutaredoxin-3,Glutaredoxin-3
Glutamate dehydrogenase (NAD(P)(+)),"Glutamate dehydrogenase 1, mitochondrial"
Glutamine synthetase,Glutamine synthetase
GDP-D-mannose dehydratase,"GDP-mannose 4,6 dehydratase"
Glia maturation factor,Glia maturation factor gamma
GMP reductase,GMP reductase 1
guanine nucleotide-binding protein subunit alpha-13,Guanine nucleotide-binding protein subunit alpha-13
guanine nucleotide-binding protein subunit alpha-15,Guanine nucleotide-binding protein subunit alpha-15
guanine nucleotide-binding protein G(I) subunit alpha-2,Guanine nucleotide-binding protein G(i) subunit alpha-2
guanine nucleotide-binding protein G(Q) subunit alpha isoform X2,Guanine nucleotide-binding protein G(q) subunit alpha 
guanine nucleotide-binding protein G(S) subunit alpha,Guanine nucleotide-binding protein G(s) subunit alpha isoforms XLas
guanine nucleotide-binding protein G(Z) subunit alpha;GNAZ (Fragment),Guanine nucleotide-binding protein G(z) subunit alpha
guanine nucleotide-binding protein G(I)/G(S)/G(T) subunit beta-1,Guanine nucleotide-binding protein G(I)/G(S)/G(T) subunit beta-1
guanine nucleotide-binding protein G(I)/G(S)/G(T) subunit beta-2,Guanine nucleotide-binding protein G(I)/G(S)/G(T) subunit beta-2
Guanine nucleotide-binding protein subunit gamma,Guanine nucleotide-binding protein G(I)/G(S)/G(O) subunit gamma-11
Glucosamine-6-phosphate isomerase,Glucosamine-6-phosphate isomerase 2
Aspartate aminotransferase,"Aspartate aminotransferase, cytoplasmic"
Aspartate aminotransferase,"Aspartate aminotransferase, mitochondrial"
platelet glycoprotein Ib alpha chain,Platelet glycoprotein Ib alpha chain
platelet glycoprotein Ib beta chain,Platelet glycoprotein Ib beta chain 
platelet glycoprotein V,Platelet glycoprotein V
platelet glycoprotein VI,Platelet glycoprotein VI
platelet glycoprotein IX,Platelet glycoprotein IX
Glycerol-3-phosphate dehydrogenase [NAD(+)],"Glycerol-3-phosphate dehydrogenase [NAD(+)], cytoplasmic"
Glycerol-3-phosphate dehydrogenase,"Glycerol-3-phosphate dehydrogenase, mitochondrial"
Glucose-6-phosphate isomerase,Glucose-6-phosphate isomerase
Glycosyl-phosphatidylinositol-specific phospholipase D,Phosphatidylinositol-glycan-specific phospholipase D
phosphatidylinositol-glycan-specific phospholipase D isoform X5,Phosphatidylinositol-glycan-specific phospholipase D
Alanine transaminase,Alanine aminotransferase 1
Glutathione peroxidase,Glutathione peroxidase 1
Glutathione peroxidase,Glutathione peroxidase 3
Glutathione peroxidase,Phospholipid hydroperoxide glutathione peroxidase
growth factor receptor-bound protein 2,Growth factor receptor-bound protein 2
granulins isoform X2,Progranulin
Actin-depolymerizing factor,Gelsolin
Actin-depolymerizing factor,Gelsolin
Glutathione reductase,"Glutathione reductase, mitochondrial"
Glutathione synthetase,Glutathione synthetase
Glutathione transferase,Glutathione S-transferase A3 
Glutathione transferase,Glutathione S-transferase A4
Glutathione S-transferase,Glutathione S-transferase Mu 3 
Glutathione S-transferase omega,Glutathione S-transferase omega-1
GST class-pi,Glutathione S-transferase P 
GTP-binding protein 2 isoform X1;GTP-binding protein 2 isoform X2,GTP-binding protein 2
Guanylate cyclase,Guanylate cyclase soluble subunit alpha-1
glycogenin-1 isoform X1;glycogenin-1 isoform X2;glycogenin-1 isoform X3,Glycogenin-1
histone H1x,Histone H1.10 
histone H1.2,Histone H1.3 
Histone H2A,Histone H2A type 1-B/E
Histone H2B,Histone H2B type 2-F
Histone H3;Histone H3;Histone H3;histone H3-like,Histone H3.2 
Histone H4,Histone H4 
GDH/6PGL endoplasmic bifunctional protein isoform X5;GDH/6PGL endoplasmic bifunctional protein isoform X4;GDH/6PGL endoplasmic bifunctional protein isoform X8;GDH/6PGL endoplasmic bifunctional protein isoform X1;GDH/6PGL endoplasmic bifunctional protein isoform X6;GDH/6PGL endoplasmic bifunctional protein isoform X2;GDH/6PGL endoplasmic bifunctional protein isoform X7,GDH/6PGL endoplasmic bifunctional protein [Includes: Hexose-6-phosphate dehydrogenase
hyaluronan-binding protein 2,Hyaluronan-binding protein 2
Very-long-chain (3R)-3-hydroxyacyl-CoA dehydratase,Very-long-chain
Enoyl-CoA hydratase,"Trifunctional enzyme subunit alpha, mitochondrial"
"trifunctional enzyme subunit beta, mitochondrial","Trifunctional enzyme subunit beta, mitochondrial"
Alpha-globin,Hemoglobin subunit alpha 
hemoglobin subunit beta,Hemoglobin subunit beta 
hemoglobin subunit beta-1,Hemoglobin subunit beta 
Alpha-globin,Hemoglobin subunit zeta
haloacid dehalogenase-like hydrolase domain-containing protein 2,Haloacid dehalogenase-like hydrolase domain-containing protein 2
heme-binding protein 1,Heme-binding protein 1
protein HEG homolog 1 isoform X2;protein HEG homolog 1 isoform X3;protein HEG homolog 1 isoform X1,Protein HEG homolog 1
probable E3 ubiquitin-protein ligase HERC4 isoform X4,Probable E3 ubiquitin-protein ligase HERC4
hepatocyte growth factor activator,Hepatocyte growth factor activator
Hepatocyte growth factor-regulated tyrosine kinase substrate,Hepatocyte growth factor-regulated tyrosine kinase substrate
"3-hydroxyisobutyryl-CoA hydrolase, mitochondrial;3-hydroxyisobutyryl-CoA hydrolase, mitochondrial;3-hydroxyisobutyryl-CoA hydrolase, mitochondrial;3-hydroxyisobutyryl-CoA hydrolase, mitochondrial;3-hydroxyisobutyryl-CoA hydrolase, mitochondrial","3-hydroxyisobutyryl-CoA hydrolase, mitochondrial"
"histidine triad nucleotide-binding protein 2, mitochondrial isoform X2","Histidine triad nucleotide-binding protein 2, mitochondrial"
Hexokinase,Hexokinase-1
Hexokinase,Hexokinase-3
Hydroxymethylbilane synthase,Porphobilinogen deaminase
hemicentin-2,Hemicentin-2
high mobility group protein B2,High mobility group protein B2
Heme oxygenase,Heme oxygenase 1
Helix-destabilizing protein,Heterogeneous nuclear ribonucleoprotein A1
Heterogeneous nuclear ribonucleoproteins A2/B1,Heterogeneous nuclear ribonucleoproteins A2/B1
heterogeneous nuclear ribonucleoprotein A3 isoform X4,Heterogeneous nuclear ribonucleoprotein A3
heterogeneous nuclear ribonucleoprotein A/B isoform X1;heterogeneous nuclear ribonucleoprotein A/B isoform X2,Heterogeneous nuclear ribonucleoprotein A/B
heterogeneous nuclear ribonucleoproteins C1/C2 isoform X4;heterogeneous nuclear ribonucleoproteins C1/C2 isoform X1;heterogeneous nuclear ribonucleoproteins C1/C2 isoform X2;heterogeneous nuclear ribonucleoproteins C1/C2 isoform X3,Heterogeneous nuclear ribonucleoproteins C1/C2
heterogeneous nuclear ribonucleoprotein D0 isoform X2;heterogeneous nuclear ribonucleoprotein D0 isoform X3;heterogeneous nuclear ribonucleoprotein D0 isoform X1;heterogeneous nuclear ribonucleoprotein D0 isoform X4,Heterogeneous nuclear ribonucleoprotein D0
heterogeneous nuclear ribonucleoprotein F,Heterogeneous nuclear ribonucleoprotein F
Heterogeneous nuclear ribonucleoprotein K,Heterogeneous nuclear ribonucleoprotein K
heterogeneous nuclear ribonucleoprotein M isoform X3;heterogeneous nuclear ribonucleoprotein M isoform X8;heterogeneous nuclear ribonucleoprotein M isoform X2;heterogeneous nuclear ribonucleoprotein M isoform X7;heterogeneous nuclear ribonucleoprotein M isoform X4;heterogeneous nuclear ribonucleoprotein M isoform X5;heterogeneous nuclear ribonucleoprotein M isoform X9;heterogeneous nuclear ribonucleoprotein M isoform X1;heterogeneous nuclear ribonucleoprotein M isoform X6,Heterogeneous nuclear ribonucleoprotein M
heterogeneous nuclear ribonucleoprotein U isoform X1;heterogeneous nuclear ribonucleoprotein U isoform X5;heterogeneous nuclear ribonucleoprotein U isoform X2;heterogeneous nuclear ribonucleoprotein U isoform X3;heterogeneous nuclear ribonucleoprotein U isoform X4,Heterogeneous nuclear ribonucleoprotein U
Haptoglobin,Haptoglobin 
4-hydroxyphenylpyruvate dioxygenase,4-hydroxyphenylpyruvate dioxygenase
Hypoxanthine phosphoribosyltransferase,Hypoxanthine-guanine phosphoribosyltransferase
heparanase isoform X1,Heparanase
Hemopexin,Hemopexin
histidine-rich glycoprotein isoform X1;histidine-rich glycoprotein isoform X2,Histidine-rich glycoprotein
3-hydroxyacyl-CoA dehydrogenase type-2,3-hydroxyacyl-CoA dehydrogenase type-2 (EC 1.1.1.35)
peroxisomal multifunctional enzyme type 2 isoform X1,Peroxisomal multifunctional enzyme type 2
hydroxysteroid dehydrogenase-like protein 2,Hydroxysteroid dehydrogenase-like protein 2
heat shock protein HSP 90-alpha,Heat shock protein HSP 90-alpha
heat shock protein HSP 90-beta,Heat shock protein HSP 90-beta
endoplasmin,Endoplasmin
heat shock 70 kDa protein 1,Heat shock 70 kDa protein 1A 
heat shock 70 kDa protein 1-like,Heat shock 70 kDa protein 1-like
Heat shock 70 kDa protein 4,Heat shock 70 kDa protein 4
78 kDa glucose-regulated protein,Endoplasmic reticulum chaperone BiP
heat shock cognate 71 kDa protein,Heat shock cognate 71 kDa protein
75 kDa glucose-regulated protein,"Stress-70 protein, mitochondrial"
Heat shock 27 kDa protein,Heat shock protein beta-1
60 kDa chaperonin,"60 kDa heat shock protein, mitochondrial"
10 kDa chaperonin,"10 kDa heat shock protein, mitochondrial"
basement membrane-specific heparan sulfate proteoglycan core protein isoform X1;basement membrane-specific heparan sulfate proteoglycan core protein isoform X6;basement membrane-specific heparan sulfate proteoglycan core protein isoform X5;basement membrane-specific heparan sulfate proteoglycan core protein isoform X9;basement membrane-specific heparan sulfate proteoglycan core protein isoform X14;basement membrane-specific heparan sulfate proteoglycan core protein isoform X2;basement membrane-specific heparan sulfate proteoglycan core protein isoform X7;basement membrane-specific heparan sulfate proteoglycan core protein isoform X3;basement membrane-specific heparan sulfate proteoglycan core protein isoform X4;basement membrane-specific heparan sulfate proteoglycan core protein isoform X8;basement membrane-specific heparan sulfate proteoglycan core protein isoform X13,Basement membrane-specific heparan sulfate proteoglycan core protein
serine protease HTRA1,Serine protease HTRA1
HECT-type E3 ubiquitin transferase,E3 ubiquitin-protein ligase HUWE1
Putative hydroxypyruvate isomerase,Putative hydroxypyruvate isomerase
hypoxia up-regulated protein 1 isoform X5;hypoxia up-regulated protein 1 isoform X4;hypoxia up-regulated protein 1 isoform X3;hypoxia up-regulated protein 1 isoform X1;hypoxia up-regulated protein 1 isoform X6;hypoxia up-regulated protein 1 isoform X2,Hypoxia up-regulated protein 1
inhibitor of carbonic anhydrase,Inhibitor of carbonic anhydrase 
intercellular adhesion molecule 1 isoform X1;intercellular adhesion molecule 1 isoform X2,Intercellular adhesion molecule 1
insulin-degrading enzyme isoform X3;insulin-degrading enzyme isoform X4;insulin-degrading enzyme isoform X2;insulin-degrading enzyme isoform X1,Insulin-degrading enzyme
Isocitrate dehydrogenase [NADP],Isocitrate dehydrogenase [NADP] cytoplasmic
Isocitrate dehydrogenase [NADP],"Isocitrate dehydrogenase [NADP], mitochondrial"
"Isocitrate dehydrogenase [NAD] subunit, mitochondrial;Isocitrate dehydrogenase [NAD] subunit, mitochondrial;Isocitrate dehydrogenase [NAD] subunit, mitochondrial","Isocitrate dehydrogenase [NAD] subunit alpha, mitochondrial"
"indoleamine 2,3-dioxygenase 1","Indoleamine 2,3-dioxygenase 1"
Insulin-like growth factor I,Insulin-like growth factor I
Insulin-like growth factor II,Insulin-like growth factor II
cation-independent mannose-6-phosphate receptor,Cation-independent mannose-6-phosphate receptor
insulin-like growth factor-binding protein complex acid labile subunit isoform X1;insulin-like growth factor-binding protein complex acid labile subunit isoform X2,Insulin-like growth factor-binding protein complex acid labile subunit
Insulin-like growth factor-binding protein 2,Insulin-like growth factor-binding protein 2
insulin-like growth factor-binding protein 3,Insulin-like growth factor-binding protein 3
Insulin-like growth factor-binding protein 4,Insulin-like growth factor-binding protein 4
Insulin-like growth factor-binding protein 5,Insulin-like growth factor-binding protein 5
insulin-like growth factor-binding protein 6,Insulin-like growth factor-binding protein 6
insulin-like growth factor-binding protein 7,Insulin-like growth factor-binding protein 7
immunoglobulin kappa light chain-like,Immunoglobulin kappa light chain 
Pro-interleukin-16,Pro-interleukin-16 [Cleaved into: Interleukin-16
interleukin-1 receptor type 1 isoform X1;interleukin-1 receptor type 1 isoform X3;interleukin-1 receptor type 1 isoform X4,Interleukin-1 receptor type 1
interleukin-1 receptor type 2 isoform X2;interleukin-1 receptor type 2 isoform X1,Interleukin-1 receptor type 2
interleukin-1 receptor accessory protein isoform X3;interleukin-1 receptor accessory protein isoform X2;interleukin-1 receptor accessory protein isoform X1,Interleukin-1 receptor accessory protein
interleukin-6 receptor subunit beta isoform X1,Interleukin-6 receptor subunit beta
interleukin enhancer-binding factor 2 isoform X1;interleukin enhancer-binding factor 2 isoform X2,Interleukin enhancer-binding factor 2
59 kDa serine/threonine-protein kinase,Integrin-linked protein kinase
Inositol-1-monophosphatase,Inositol monophosphatase 1
inverted formin-2 isoform X1;inverted formin-2 isoform X4;inverted formin-2 isoform X2,Inverted formin-2
inositol polyphosphate 1-phosphatase,Inositol polyphosphate 1-phosphatase
"Phosphatidylinositol-3,4,5-trisphosphate 5-phosphatase;Phosphatidylinositol-3,4,5-trisphosphate 5-phosphatase","Phosphatidylinositol 3,4,5-trisphosphate 5-phosphatase 1"
importin-7,Importin-7
ras GTPase-activating-like protein IQGAP1,Ras GTPase-activating-like protein IQGAP1
ras GTPase-activating-like protein IQGAP2 isoform X1;ras GTPase-activating-like protein IQGAP2 isoform X2,Ras GTPase-activating-like protein IQGAP2
protein MRVI1 isoform X5;protein MRVI1 isoform X10;protein MRVI1 isoform X4;protein MRVI1 isoform X9;protein MRVI1 isoform X1;protein MRVI1 isoform X6;protein MRVI1 isoform X11;protein MRVI1 isoform X2;protein MRVI1 isoform X7;protein MRVI1 isoform X12;protein MRVI1 isoform X3;protein MRVI1 isoform X8,"Inositol 1,4,5-triphosphate receptor associated 1"
interferon-stimulated gene 20 kDa protein isoform X2,Interferon-stimulated gene 20 kDa protein
immunoglobulin superfamily containing leucine-rich repeat protein,Immunoglobulin superfamily containing leucine-rich repeat protein
isochorismatase domain-containing protein 1,Isochorismatase domain-containing protein 1
integrin alpha-2,Integrin alpha-2
integrin alpha-IIb,Integrin alpha-IIb
integrin alpha-6 isoform X2,Integrin alpha-6
integrin alpha-M isoform X1;integrin alpha-M isoform X2;integrin alpha-M isoform X3;integrin alpha-M isoform X4,Integrin alpha-M
Integrin beta,Integrin beta-1
Integrin beta,Integrin beta-2
Integrin beta,Integrin beta-3
inter-alpha-trypsin inhibitor heavy chain H1 isoform X1,Inter-alpha-trypsin inhibitor heavy chain H1
inter-alpha-trypsin inhibitor heavy chain H2,Inter-alpha-trypsin inhibitor heavy chain H2
inter-alpha-trypsin inhibitor heavy chain H3,Inter-alpha-trypsin inhibitor heavy chain H3
inter-alpha-trypsin inhibitor heavy chain H4 isoform X4,Inter-alpha-trypsin inhibitor heavy chain H4
inter-alpha-trypsin inhibitor heavy chain H4 isoform X6,Inter-alpha-trypsin inhibitor heavy chain H4
inter-alpha-trypsin inhibitor heavy chain H4 isoform X1,Inter-alpha-trypsin inhibitor heavy chain H4
Butyryl-CoA dehydrogenase,"Isovaleryl-CoA dehydrogenase, mitochondrial"
immunoglobulin J chain,Immunoglobulin J chain
Junction plakoglobin,Junction plakoglobin
kalirin isoform X26,Kalirin
Lysine--tRNA ligase,Lysine--tRNA ligase
Katanin p60 ATPase-containing subunit A-like 2,Katanin p60 ATPase-containing subunit A-like 2
BTB/POZ domain-containing protein KCTD12,BTB/POZ domain-containing protein KCTD12
protein KIAA0100 homolog,Protein KIAA0100
uncharacterized protein KIAA1958 homolog isoform X1,Uncharacterized protein KIAA1958
Kinesin-like protein,Kinesin-like protein KIF2A
plasma kallikrein isoform X1;plasma kallikrein isoform X2,Plasma kallikrein
kininogen-1-like,Kininogen-1 
kininogen-2 isoform X1,Kininogen-2 OS=B
importin subunit beta-1,Importin subunit beta-1
keratinocyte proline-rich protein,Keratinocyte proline-rich protein
GTPase KRas isoform X1,"GTPase KRas, N-terminally processed"
Cytokeratin-1,"Keratin, type II cytoskeletal 1"
"keratin, type I cytoskeletal 13","Keratin, type I cytoskeletal 13 "
"keratin, type I cytoskeletal 14","Keratin, type I cytoskeletal 14 "
"LOW QUALITY PROTEIN: keratin, type I cytoskeletal 16-like","Keratin, type I cytoskeletal 16 "
"keratin, type I cytoskeletal 17","Keratin, type I cytoskeletal 17 "
"keratin, type II cytoskeletal 2 epidermal isoform X1;keratin, type II cytoskeletal 2 epidermal isoform X2","Keratin, type II cytoskeletal 2 epidermal"
"keratin, type I cytoskeletal 24","Keratin, type I cytoskeletal 24"
"keratin, type I cytoskeletal 28 isoform X3","Keratin, type I cytoskeletal 28"
"keratin, type II cytoskeletal 3","Keratin, type II cytoskeletal 3"
"keratin, type II cytoskeletal 4","Keratin, type II cytoskeletal 4"
"keratin, type II cytoskeletal 5 isoform X1","Keratin, type II cytoskeletal 5"
"keratin, type II cytoskeletal 6A;keratin, type II cytoskeletal 6A-like","Keratin, type II cytoskeletal 6A "
"keratin, type II cytoskeletal 71 isoform X1;keratin, type II cytoskeletal 71 isoform X2","Keratin, type II cytoskeletal 71"
"keratin, type II cytoskeletal 75","Keratin, type II cytoskeletal 75 "
