CheetahProteinDescription,HumanName
extracellular serine/threonine protein kinase FAM20C,Extracellular serine/threonine protein kinase FAM20C
Phenylalanyl-tRNA synthetase beta subunit,Phenylalanine--tRNA ligase beta subunit
Fatty acid synthase,Fatty acid synthase
Fibulin-1,Fibulin-1
Fibulin-1,Fibulin-1
fibulin-2,Fibulin-2
Fibulin-5,Fibulin-5
fibrillin-1,Fibrillin-1 [Cleaved into: Asprosin]
Fructose-bisphosphatase,"Fructose-1,6-bisphosphatase isozyme 2"
IgGFc-binding protein,IgGFc-binding protein
low affinity immunoglobulin gamma Fc region receptor III,Low affinity immunoglobulin gamma Fc region receptor III-A 
Tyrosine-protein kinase,Tyrosine-protein kinase Fer 
fermitin family homolog 3,Fermitin family homolog 3
fetuin-B,Fetuin-B
Fibrinogen alpha chain,Fibrinogen alpha chain [Cleaved into: Fibrinopeptide A; Fibrinogen alpha chain]
Fibrinogen beta chain,Fibrinogen beta chain [Cleaved into: Fibrinopeptide B; Fibrinogen beta chain]
fibrinogen gamma chain,Fibrinogen gamma chain
fibrinogen-like protein 1,Fibrinogen-like protein 1
four and a half LIM domains protein 1,Four and a half LIM domains protein 1
FH1/FH2 domain-containing protein 1,FH1/FH2 domain-containing protein 1
Peptidylprolyl isomerase,Peptidyl-prolyl cis-trans isomerase FKBP11
Peptidylprolyl isomerase,Peptidyl-prolyl cis-trans isomerase FKBP1A
Peptidylprolyl isomerase,Peptidyl-prolyl cis-trans isomerase FKBP3
Peptidylprolyl isomerase,Peptidyl-prolyl cis-trans isomerase FKBP4
protein flightless-1 homolog,Protein flightless-1 homolog
filamin-A,Filamin-A
filamin-B,Filamin-B
filamin-C,Filamin-C
Flotillin,Flotillin-1
Flotillin,Flotillin-2
Vascular endothelial growth factor receptor 3,Vascular endothelial growth factor receptor 3
Fibronectin,Fibronectin
Fibronectin,Fibronectin
protein furry homolog,Protein furry homolog
Fascin,Fascin
FYN-binding protein 1,FYN-binding protein 1
ras GTPase-activating protein-binding protein 1,Ras GTPase-activating protein-binding protein 1
Glucose-6-phosphate 1-dehydrogenase,Glucose-6-phosphate 1-dehydrogenase
Chondroitinsulfatase,N-acetylgalactosamine-6-sulfatase
Polypeptide N-acetylgalactosaminyltransferase,Polypeptide N-acetylgalactosaminyltransferase 2
neutral alpha-glucosidase AB,Neutral alpha-glucosidase AB
Glyceraldehyde-3-phosphate dehydrogenase,Glyceraldehyde-3-phosphate dehydrogenase
Diadenosine tetraphosphate synthetase,Glycine--tRNA ligase
protein FAM198A,Golgi-associated kinase 1A
"glutamine amidotransferase-like class 1 domain-containing protein 3A, mitochondrial","Glutamine amidotransferase-like class 1 domain-containing protein 3B, mitochondrial "
Glucosylceramidase,Lysosomal acid glucosylceramidase
"1,4-alpha-glucan branching enzyme","1,4-alpha-glucan-branching enzyme"
Gc-globulin,Vitamin D-binding protein
Glutamate--cysteine ligase,Glutamate--cysteine ligase catalytic subunit
GCS light chain,Glutamate--cysteine ligase regulatory subunit
growth/differentiation factor 2,Growth/differentiation factor 2
Rab GDP dissociation inhibitor,Rab GDP dissociation inhibitor alpha
Rab GDP dissociation inhibitor,Rab GDP dissociation inhibitor beta
Folate gamma-glutamyl hydrolase,Gamma-glutamyl hydrolase
Golgi-associated plant pathogenesis-related protein 1,Golgi-associated plant pathogenesis-related protein 1
Lactoylglutathione lyase,Lactoylglutathione lyase
Glyoxalase domain-containing protein 4,Glyoxalase domain-containing protein 4
glutaredoxin-3,Glutaredoxin-3
Glutamate dehydrogenase (NAD(P)(+)),"Glutamate dehydrogenase 1, mitochondrial"
Glutamine synthetase,Glutamine synthetase
GDP-D-mannose dehydratase,"GDP-mannose 4,6 dehydratase"
Glia maturation factor,Glia maturation factor gamma
GMP reductase,GMP reductase 1
guanine nucleotide-binding protein subunit alpha-13,Guanine nucleotide-binding protein subunit alpha-13
guanine nucleotide-binding protein subunit alpha-15,Guanine nucleotide-binding protein subunit alpha-15
guanine nucleotide-binding protein G(I) subunit alpha-2,Guanine nucleotide-binding protein G(i) subunit alpha-2
guanine nucleotide-binding protein G(Q) subunit alpha,Guanine nucleotide-binding protein G(q) subunit alpha 
guanine nucleotide-binding protein G(S) subunit alpha,Guanine nucleotide-binding protein G(s) subunit alpha isoforms XLas
guanine nucleotide-binding protein G(Z) subunit alpha,Guanine nucleotide-binding protein G(z) subunit alpha
guanine nucleotide-binding protein G(I)/G(S)/G(T) subunit beta-1,Guanine nucleotide-binding protein G(I)/G(S)/G(T) subunit beta-1
guanine nucleotide-binding protein G(I)/G(S)/G(T) subunit beta-2,Guanine nucleotide-binding protein G(I)/G(S)/G(T) subunit beta-2
Guanine nucleotide-binding protein subunit gamma,Guanine nucleotide-binding protein G(I)/G(S)/G(O) subunit gamma-11
Glucosamine-6-phosphate isomerase,Glucosamine-6-phosphate isomerase 2
Aspartate aminotransferase,"Aspartate aminotransferase, cytoplasmic"
Aspartate aminotransferase,"Aspartate aminotransferase, mitochondrial"
platelet glycoprotein Ib alpha chain,Platelet glycoprotein Ib alpha chain
platelet glycoprotein Ib beta chain,Platelet glycoprotein Ib beta chain 
platelet glycoprotein V,Platelet glycoprotein V
platelet glycoprotein VI,Platelet glycoprotein VI
platelet glycoprotein IX,Platelet glycoprotein IX
Glycerol-3-phosphate dehydrogenase [NAD(+)],"Glycerol-3-phosphate dehydrogenase [NAD(+)], cytoplasmic"
Glycerol-3-phosphate dehydrogenase,"Glycerol-3-phosphate dehydrogenase, mitochondrial"
Glucose-6-phosphate isomerase,Glucose-6-phosphate isomerase
Glycosyl-phosphatidylinositol-specific phospholipase D,Phosphatidylinositol-glycan-specific phospholipase D
phosphatidylinositol-glycan-specific phospholipase D,Phosphatidylinositol-glycan-specific phospholipase D
Alanine transaminase,Alanine aminotransferase 1
Glutathione peroxidase,Glutathione peroxidase 1
Glutathione peroxidase,Glutathione peroxidase 3
Glutathione peroxidase,Phospholipid hydroperoxide glutathione peroxidase
growth factor receptor-bound protein 2,Growth factor receptor-bound protein 2
granulins,Progranulin
Actin-depolymerizing factor,Gelsolin
Actin-depolymerizing factor,Gelsolin
Glutathione reductase,"Glutathione reductase, mitochondrial"
Glutathione synthetase,Glutathione synthetase
Glutathione transferase,Glutathione S-transferase A3 
Glutathione transferase,Glutathione S-transferase A4
Glutathione S-transferase,Glutathione S-transferase Mu 3 
Glutathione S-transferase omega,Glutathione S-transferase omega-1
GST class-pi,Glutathione S-transferase P 
GTP-binding protein 2,GTP-binding protein 2
Guanylate cyclase,Guanylate cyclase soluble subunit alpha-1
glycogenin-1,Glycogenin-1
histone H1x,Histone H1.10 
histone H1.2,Histone H1.3 
Histone H2A,Histone H2A type 1-B/E
Histone H2B,Histone H2B type 2-F
Histone H3,Histone H3.2 
Histone H4,Histone H4 
GDH/6PGL endoplasmic bifunctional protein,GDH/6PGL endoplasmic bifunctional protein [Includes: Hexose-6-phosphate dehydrogenase
hyaluronan-binding protein 2,Hyaluronan-binding protein 2
Very-long-chain (3R)-3-hydroxyacyl-CoA dehydratase,Very-long-chain
Enoyl-CoA hydratase,"Trifunctional enzyme subunit alpha, mitochondrial"
"trifunctional enzyme subunit beta, mitochondrial","Trifunctional enzyme subunit beta, mitochondrial"
Alpha-globin,Hemoglobin subunit alpha 
hemoglobin subunit beta,Hemoglobin subunit beta 
hemoglobin subunit beta-1,Hemoglobin subunit beta 
Alpha-globin,Hemoglobin subunit zeta
haloacid dehalogenase-like hydrolase domain-containing protein 2,Haloacid dehalogenase-like hydrolase domain-containing protein 2
heme-binding protein 1,Heme-binding protein 1
protein HEG homolog 1,Protein HEG homolog 1
probable E3 ubiquitin-protein ligase HERC4,Probable E3 ubiquitin-protein ligase HERC4
hepatocyte growth factor activator,Hepatocyte growth factor activator
Hepatocyte growth factor-regulated tyrosine kinase substrate,Hepatocyte growth factor-regulated tyrosine kinase substrate
"3-hydroxyisobutyryl-CoA hydrolase, mitochondrial","3-hydroxyisobutyryl-CoA hydrolase, mitochondrial"
"histidine triad nucleotide-binding protein 2, mitochondrial","Histidine triad nucleotide-binding protein 2, mitochondrial"
Hexokinase,Hexokinase-1
Hexokinase,Hexokinase-3
Hydroxymethylbilane synthase,Porphobilinogen deaminase
hemicentin-2,Hemicentin-2
high mobility group protein B2,High mobility group protein B2
Heme oxygenase,Heme oxygenase 1
Helix-destabilizing protein,Heterogeneous nuclear ribonucleoprotein A1
Heterogeneous nuclear ribonucleoproteins A2/B1,Heterogeneous nuclear ribonucleoproteins A2/B1
heterogeneous nuclear ribonucleoprotein A3,Heterogeneous nuclear ribonucleoprotein A3
heterogeneous nuclear ribonucleoprotein A/B,Heterogeneous nuclear ribonucleoprotein A/B
heterogeneous nuclear ribonucleoproteins C1/C2,Heterogeneous nuclear ribonucleoproteins C1/C2
heterogeneous nuclear ribonucleoprotein D0,Heterogeneous nuclear ribonucleoprotein D0
heterogeneous nuclear ribonucleoprotein F,Heterogeneous nuclear ribonucleoprotein F
Heterogeneous nuclear ribonucleoprotein K,Heterogeneous nuclear ribonucleoprotein K
heterogeneous nuclear ribonucleoprotein M,Heterogeneous nuclear ribonucleoprotein M
heterogeneous nuclear ribonucleoprotein U,Heterogeneous nuclear ribonucleoprotein U
Haptoglobin,Haptoglobin 
4-hydroxyphenylpyruvate dioxygenase,4-hydroxyphenylpyruvate dioxygenase
Hypoxanthine phosphoribosyltransferase,Hypoxanthine-guanine phosphoribosyltransferase
heparanase,Heparanase
Hemopexin,Hemopexin
histidine-rich glycoprotein,Histidine-rich glycoprotein
3-hydroxyacyl-CoA dehydrogenase type-2,3-hydroxyacyl-CoA dehydrogenase type-2 (EC 1.1.1.35)
peroxisomal multifunctional enzyme type 2,Peroxisomal multifunctional enzyme type 2
hydroxysteroid dehydrogenase-like protein 2,Hydroxysteroid dehydrogenase-like protein 2
heat shock protein HSP 90-alpha,Heat shock protein HSP 90-alpha
heat shock protein HSP 90-beta,Heat shock protein HSP 90-beta
endoplasmin,Endoplasmin
heat shock 70 kDa protein 1,Heat shock 70 kDa protein 1A 
heat shock 70 kDa protein 1,Heat shock 70 kDa protein 1-like
Heat shock 70 kDa protein 4,Heat shock 70 kDa protein 4
78 kDa glucose-regulated protein,Endoplasmic reticulum chaperone BiP
heat shock cognate 71 kDa protein,Heat shock cognate 71 kDa protein
75 kDa glucose-regulated protein,"Stress-70 protein, mitochondrial"
Heat shock 27 kDa protein,Heat shock protein beta-1
60 kDa chaperonin,"60 kDa heat shock protein, mitochondrial"
10 kDa chaperonin,"10 kDa heat shock protein, mitochondrial"
basement membrane-specific heparan sulfate proteoglycan core protein,Basement membrane-specific heparan sulfate proteoglycan core protein
serine protease HTRA1,Serine protease HTRA1
HECT-type E3 ubiquitin transferase,E3 ubiquitin-protein ligase HUWE1
Putative hydroxypyruvate isomerase,Putative hydroxypyruvate isomerase
hypoxia up-regulated protein 1,Hypoxia up-regulated protein 1
inhibitor of carbonic anhydrase,Inhibitor of carbonic anhydrase 
intercellular adhesion molecule 1,Intercellular adhesion molecule 1
insulin-degrading enzyme,Insulin-degrading enzyme
Isocitrate dehydrogenase [NADP],Isocitrate dehydrogenase [NADP] cytoplasmic
Isocitrate dehydrogenase [NADP],"Isocitrate dehydrogenase [NADP], mitochondrial"
"Isocitrate dehydrogenase [NAD] subunit, mitochondrial","Isocitrate dehydrogenase [NAD] subunit alpha, mitochondrial"
"indoleamine 2,3-dioxygenase 1","Indoleamine 2,3-dioxygenase 1"
Insulin-like growth factor I,Insulin-like growth factor I
Insulin-like growth factor II,Insulin-like growth factor II
cation-independent mannose-6-phosphate receptor,Cation-independent mannose-6-phosphate receptor
insulin-like growth factor-binding protein complex acid labile subunit,Insulin-like growth factor-binding protein complex acid labile subunit
Insulin-like growth factor-binding protein 2,Insulin-like growth factor-binding protein 2
insulin-like growth factor-binding protein 3,Insulin-like growth factor-binding protein 3
Insulin-like growth factor-binding protein 4,Insulin-like growth factor-binding protein 4
Insulin-like growth factor-binding protein 5,Insulin-like growth factor-binding protein 5
insulin-like growth factor-binding protein 6,Insulin-like growth factor-binding protein 6
insulin-like growth factor-binding protein 7,Insulin-like growth factor-binding protein 7
immunoglobulin kappa light chain,Immunoglobulin kappa light chain 
Pro-interleukin-16,Pro-interleukin-16 [Cleaved into: Interleukin-16
interleukin-1 receptor type 1,Interleukin-1 receptor type 1
interleukin-1 receptor type 2,Interleukin-1 receptor type 2
interleukin-1 receptor accessory protein,Interleukin-1 receptor accessory protein
interleukin-6 receptor subunit beta,Interleukin-6 receptor subunit beta
interleukin enhancer-binding factor 2,Interleukin enhancer-binding factor 2
59 kDa serine/threonine-protein kinase,Integrin-linked protein kinase
Inositol-1-monophosphatase,Inositol monophosphatase 1
inverted formin-2,Inverted formin-2
inositol polyphosphate 1-phosphatase,Inositol polyphosphate 1-phosphatase
"Phosphatidylinositol-3,4,5-trisphosphate 5-phosphatase","Phosphatidylinositol 3,4,5-trisphosphate 5-phosphatase 1"
importin-7,Importin-7
ras GTPase-activating-like protein IQGAP1,Ras GTPase-activating-like protein IQGAP1
ras GTPase-activating-like protein IQGAP2,Ras GTPase-activating-like protein IQGAP2
protein MRVI1,"Inositol 1,4,5-triphosphate receptor associated 1"
interferon-stimulated gene 20 kDa protein,Interferon-stimulated gene 20 kDa protein
immunoglobulin superfamily containing leucine-rich repeat protein,Immunoglobulin superfamily containing leucine-rich repeat protein
isochorismatase domain-containing protein 1,Isochorismatase domain-containing protein 1
integrin alpha-2,Integrin alpha-2
integrin alpha-IIb,Integrin alpha-IIb
integrin alpha-6,Integrin alpha-6
integrin alpha-M,Integrin alpha-M
Integrin beta,Integrin beta-1
Integrin beta,Integrin beta-2
Integrin beta,Integrin beta-3
inter-alpha-trypsin inhibitor heavy chain H1,Inter-alpha-trypsin inhibitor heavy chain H1
inter-alpha-trypsin inhibitor heavy chain H2,Inter-alpha-trypsin inhibitor heavy chain H2
inter-alpha-trypsin inhibitor heavy chain H3,Inter-alpha-trypsin inhibitor heavy chain H3
inter-alpha-trypsin inhibitor heavy chain H4,Inter-alpha-trypsin inhibitor heavy chain H4
inter-alpha-trypsin inhibitor heavy chain H4,Inter-alpha-trypsin inhibitor heavy chain H4
inter-alpha-trypsin inhibitor heavy chain H4,Inter-alpha-trypsin inhibitor heavy chain H4
Butyryl-CoA dehydrogenase,"Isovaleryl-CoA dehydrogenase, mitochondrial"
immunoglobulin J chain,Immunoglobulin J chain
Junction plakoglobin,Junction plakoglobin
kalirin,Kalirin
Lysine--tRNA ligase,Lysine--tRNA ligase
Katanin p60 ATPase-containing subunit A-like 2,Katanin p60 ATPase-containing subunit A-like 2
BTB/POZ domain-containing protein KCTD12,BTB/POZ domain-containing protein KCTD12
protein KIAA0100 homolog,Protein KIAA0100
uncharacterized protein KIAA1958 homolog,Uncharacterized protein KIAA1958
Kinesin-like protein,Kinesin-like protein KIF2A
plasma kallikrein,Plasma kallikrein
kininogen-1,Kininogen-1 
kininogen-2,Kininogen-2 OS=B
importin subunit beta-1,Importin subunit beta-1
keratinocyte proline-rich protein,Keratinocyte proline-rich protein
GTPase KRas,"GTPase KRas, N-terminally processed"
Cytokeratin-1,"Keratin, type II cytoskeletal 1"
"keratin, type I cytoskeletal 13","Keratin, type I cytoskeletal 13 "
"keratin, type I cytoskeletal 14","Keratin, type I cytoskeletal 14 "
"keratin, type I cytoskeletal 16","Keratin, type I cytoskeletal 16 "
"keratin, type I cytoskeletal 17","Keratin, type I cytoskeletal 17 "
"keratin, type II cytoskeletal 2 epidermal","Keratin, type II cytoskeletal 2 epidermal"
"keratin, type I cytoskeletal 24","Keratin, type I cytoskeletal 24"
"keratin, type I cytoskeletal 28","Keratin, type I cytoskeletal 28"
"keratin, type II cytoskeletal 3","Keratin, type II cytoskeletal 3"
"keratin, type II cytoskeletal 4","Keratin, type II cytoskeletal 4"
"keratin, type II cytoskeletal 5","Keratin, type II cytoskeletal 5"
"keratin, type II cytoskeletal 6A","Keratin, type II cytoskeletal 6A "
"keratin, type II cytoskeletal 71","Keratin, type II cytoskeletal 71"
"keratin, type II cytoskeletal 75","Keratin, type II cytoskeletal 75 "
"keratin, type II cytoskeletal 1b","Keratin, type II cytoskeletal 1b"
"keratin, type II cytoskeletal 79","Keratin, type II cytoskeletal 79"
"keratin, type II cytoskeletal 80","Keratin, type II cytoskeletal 80"
kynurenine--oxoglutarate transaminase 1,Kynurenine--oxoglutarate transaminase 1
laminin subunit beta-1,Laminin subunit beta-1
lysosome-associated membrane glycoprotein 1,Lysosome-associated membrane glycoprotein 1
lysosome-associated membrane glycoprotein 2,Lysosome-associated membrane glycoprotein 2
Cysteinylglycine-S-conjugate dipeptidase,Cytosol aminopeptidase
LIM and SH3 domain protein 1,LIM and SH3 domain protein 1
Lipopolysaccharide-binding protein,Lipopolysaccharide-binding protein
phosphatidylcholine-sterol acyltransferase,Phosphatidylcholine-sterol acyltransferase
neutrophil gelatinase-associated lipocalin,Neutrophil gelatinase-associated lipocalin 
neutrophil gelatinase-associated lipocalin,Neutrophil gelatinase-associated lipocalin 
plastin-2,Plastin-2
lymphocyte cytosolic protein 2,Lymphocyte cytosolic protein 2
LIM domain-binding protein 3,LIM domain-binding protein 3
L-lactate dehydrogenase,L-lactate dehydrogenase A chain 
L-lactate dehydrogenase,L-lactate dehydrogenase B chain
Liver-expressed antimicrobial peptide 2,Liver-expressed antimicrobial peptide 2
leukocyte cell-derived chemotaxin-2,Leukocyte cell-derived chemotaxin-2
Galectin,Galectin-3
Galectin,Galectin-related protein
LIM and senescent cell antigen-like-containing domain protein,LIM and senescent cell antigen-like-containing domain protein 1
Hepatic triacylglycerol lipase,Hepatic triacylglycerol lipase
protein ERGIC-53,Protein ERGIC-53
vesicular integral-membrane protein VIP36,Vesicular integral-membrane protein VIP36
lamin,Prelamin-A/C [Cleaved into: Lamin-A/C
lamin-B1,Lamin-B1
leucine-rich alpha-2-glycoprotein,Leucine-rich alpha-2-glycoprotein
prolow-density lipoprotein receptor-related protein 1,Prolow-density lipoprotein receptor-related protein 1
leucine-rich repeat flightless-interacting protein 1,Leucine-rich repeat flightless-interacting protein 1 
lymphocyte-specific protein 1,Lymphocyte-specific protein 1
Leukotriene A(4) hydrolase,Leukotriene A-4 hydrolase
latent-transforming growth factor beta-binding protein 1,Latent-transforming growth factor beta-binding protein 1
latent-transforming growth factor beta-binding protein 1,Latent-transforming growth factor beta-binding protein 1
latent-transforming growth factor beta-binding protein 4,Latent-transforming growth factor beta-binding protein 4
lactotransferrin,Lactotransferrin
Lumican,Lumican
latexin,Latexin
lymphocyte antigen 6D,Lymphocyte antigen 6D
lymphocyte antigen 6 complex locus protein G6f,Lymphocyte antigen 6 complex locus protein G6f
Tyrosine-protein kinase,Tyrosine-protein kinase Lyn
Lysozyme,Lysozyme C
Core histone macro-H2A,Core histone macro-H2A.1
"alpha-1,2-Mannosidase","Mannosyl-oligosaccharide 1,2-alpha-mannosidase IA"
Alpha-mannosidase,Alpha-mannosidase 2
Alpha-mannosidase,Lysosomal alpha-mannosidase
microtubule-associated proteins 1A/1B light chain 3B,Microtubule-associated proteins 1A/1B light chain 3B
dual specificity mitogen-activated protein kinase kinase 1,Dual specificity mitogen-activated protein kinase kinase 1
dual specificity mitogen-activated protein kinase kinase 3,Dual specificity mitogen-activated protein kinase kinase 3
Mitogen-activated protein kinase,Mitogen-activated protein kinase 1
Mitogen-activated protein kinase 14,Mitogen-activated protein kinase 14
Non-specific serine/threonine protein kinase,MAP kinase-activated protein kinase 3
APC-binding protein EB1,Microtubule-associated protein RP/EB family member 1
Microtubule-associated protein RP/EB family member 2,Microtubule-associated protein RP/EB family member 2
myristoylated alanine-rich C-kinase substrate,Myristoylated alanine-rich C-kinase substrate
mannan-binding lectin serine protease 1,Mannan-binding lectin serine protease 1
mannan-binding lectin serine protease 1,Mannan-binding lectin serine protease 1 light chain
mannan-binding lectin serine protease 2,Mannan-binding lectin serine protease 2
Myoglobin,Myoglobin
mannose-binding protein C,Mannose-binding protein C
muscleblind-like protein 1,Muscleblind-like protein 1
Calcium uniporter protein,"Calcium uniporter protein, mitochondrial"
Malate dehydrogenase,"Malate dehydrogenase, cytoplasmic"
Malate dehydrogenase,"Malate dehydrogenase, mitochondrial"
Malic enzyme,NADP-dependent malic enzyme
microfibril-associated glycoprotein 4,Microfibril-associated glycoprotein 4
microfibrillar-associated protein 5,Microfibrillar-associated protein 5
Matrix Gla protein,Matrix Gla protein
microsomal glutathione S-transferase 3,Microsomal glutathione S-transferase 3
"calcium uptake protein 1, mitochondrial","Calcium uptake protein 1, mitochondrial"
macrophage migration inhibitory factor,Macrophage migration inhibitory factor
matrix metalloproteinase-19,Matrix metalloproteinase-19
72 kDa gelatinase,72 kDa type IV collagenase
neutrophil collagenase,Neutrophil collagenase
92 kDa gelatinase,Matrix metalloproteinase-9
multimerin-1,Multimerin-1
MOB kinase activator 1B,MOB kinase activator 1B
megakaryocyte and platelet inhibitory receptor G6b,Megakaryocyte and platelet inhibitory receptor G6b
myeloperoxidase,Myeloperoxidase
macrophage mannose receptor 1,Macrophage mannose receptor 1
moesin,Moesin
Peptide-methionine (S)-S-oxide reductase,Mitochondrial peptide methionine sulfoxide reductase
hepatocyte growth factor-like protein,Hepatocyte growth factor-like protein
Metallothionein,Metallothionein-1E 
S-methyl-5'-thioadenosine phosphorylase,S-methyl-5'-thioadenosine phosphorylase
Cytochrome c oxidase subunit 2 (Fragment),Cytochrome c oxidase subunit 2 
protein LYRIC,Protein LYRIC
"C-1-tetrahydrofolate synthase, cytoplasmic","C-1-tetrahydrofolate synthase, cytoplasmic"
myotubularin-related protein 14,Myotubularin-related protein 14
metastasis suppressor protein 1,Protein MTSS 1
myeloid-associated differentiation marker,Myeloid-associated differentiation marker
"myosin-binding protein C, slow-type","Myosin-binding protein C, slow-type"
"myosin-binding protein C, fast-type","Myosin-binding protein C, fast-type"
myc target protein 1,Myc target protein 1
myosin-1,Myosin-1 
myosin-10,Myosin-10
myosin-13,Myosin-13 
myosin-2,Myosin-2 
myosin-4,Myosin-4 
myosin-9,Myosin-9
"myosin light chain 1/3, skeletal muscle","Myosin light chain 1/3, skeletal muscle isoform"
myosin regulatory light polypeptide 9,Myosin regulatory light chain 12B
myosin light polypeptide 6,Myosin light polypeptide 6
myosin regulatory light polypeptide 9,Myosin regulatory light polypeptide 9
"myosin light chain kinase, smooth muscle","Myosin light chain kinase, smooth muscle"
"myosin regulatory light chain 2, skeletal muscle","Myosin regulatory light chain 2, skeletal muscle isoform"
unconventional myosin-Ic,Unconventional myosin-Ic
Myocilin,Myocilin
myoferlin,Myoferlin
myomesin-1,Myomesin-1
myomesin-2,Myomesin-2
myomesin-3,Myomesin-3
nucleosome assembly protein 1-like 1,Nucleosome assembly protein 1-like 1
nucleosome assembly protein 1-like 4,Nucleosome assembly protein 1-like 4
alpha-soluble NSF attachment protein,Alpha-soluble NSF attachment protein
Nicotinate phosphoribosyltransferase,Nicotinate phosphoribosyltransferase
napsin-A,Napsin-A
ATP-dependent (S)-NAD(P)H-hydrate dehydratase,ATP-dependent
neurobeachin,Neurobeachin
neurobeachin-like protein 2,Neurobeachin-like protein 2
neural cell adhesion molecule 1,Neural cell adhesion molecule 1
neutrophil cytosol factor 1,Neutrophil cytosol factor 1
Cytoplasmic protein,Cytoplasmic protein NCK2
nck-associated protein 1,Nck-associated protein 1
protein kinase C-binding protein NELL2,Protein kinase C-binding protein NELL2
nexilin,Nexilin
niban-like protein 1,Protein Niban 2
nidogen-1,Nidogen-1
NIF3-like protein 1,NIF3-like protein 1
protein NipSnap homolog 3A,Protein NipSnap homolog 3A
deaminated glutathione amidase,Deaminated glutathione amidase
NLR family member X1,NLR family member X1
Nucleoside diphosphate kinase,Nucleoside diphosphate kinase A 
Nucleoside diphosphate kinase,Nucleoside diphosphate kinase B
Nucleoside diphosphate kinase,Nucleoside diphosphate kinase 3
nicotinamide N-methyltransferase,Nicotinamide N-methyltransferase 
non-POU domain-containing octamer-binding protein,Non-POU domain-containing octamer-binding protein
Neurogenic locus notch homolog protein 1,Neurogenic locus notch homolog protein 1 
neurogenic locus notch homolog protein 3,Neurogenic locus notch homolog protein 3
Aminopeptidase,Puromycin-sensitive aminopeptidase
neuronal pentraxin-1,Neuronal pentraxin-1
neuronal pentraxin-2,Neuronal pentraxin-2
nuclear receptor-binding protein,Nuclear receptor-binding protein
Neuropilin,Neuropilin-2
Vesicle-fusing ATPase,Vesicle-fusing ATPase
cytosolic purine 5'-nucleotidase,Cytosolic purine 5'-nucleotidase
5'-nucleotidase,Cytosolic 5'-nucleotidase 3A
5'-nucleotidase,7-methylguanosine phosphate-specific 5'-nucleotidase
ADP-sugar pyrophosphatase,ADP-sugar pyrophosphatase
"ADP-ribose pyrophosphatase, mitochondrial","ADP-ribose pyrophosphatase, mitochondrial"
nuclear transport factor 2,Nuclear transport factor 2
Out at first protein homolog,Out at first protein homolog
Oxoglutarate dehydrogenase (succinyl-transferring),2-oxoglutarate dehydrogenase complex component E1
Mimecan,Mimecan
Obg-like ATPase 1,Obg-like ATPase 1
noelin,Noelin
osteomodulin,Osteomodulin
Alpha-1-acid glycoprotein,Alpha-1-acid glycoprotein 1 
osteoclast-stimulating factor 1,Osteoclast-stimulating factor 1
Succinyl-CoA:3-ketoacid-coenzyme A transferase,"Succinyl-CoA:3-ketoacid coenzyme A transferase 1, mitochondrial"
Protein disulfide-isomerase,Protein disulfide-isomerase
proliferation-associated protein 2G4,Proliferation-associated protein 2G4
Polyadenylate-binding protein,Polyadenylate-binding protein 1
protein-arginine deiminase type-4,Protein-arginine deiminase type-4
Platelet-activating factor acetylhydrolase IB subunit alpha,Platelet-activating factor acetylhydrolase IB subunit beta
platelet-activating factor acetylhydrolase IB subunit beta,Platelet-activating factor acetylhydrolase IB subunit alpha2
Multifunctional protein ADE2,Multifunctional protein ADE2 
Non-specific serine/threonine protein kinase,Serine/threonine-protein kinase PAK 2
peptidyl-glycine alpha-amidating monooxygenase,Peptidyl-alpha-hydroxyglycine alpha-amidating lyase
papilin,Papilin
Maillard deglycase,Parkinson disease protein 7
Multifunctional fusion protein,Protein mono-ADP-ribosyltransferase PARP6 
beta-parvin,Beta-parvin
poly(RC)-binding protein 1,Poly(rC)-binding protein 1
poly(RC)-binding protein 2,Poly(rC)-binding protein 2 
Protein-L-isoaspartate O-methyltransferase,Protein-L-isoaspartate(D-aspartate) O-methyltransferase
procollagen C-endopeptidase enhancer 1,Procollagen C-endopeptidase enhancer 1
procollagen C-endopeptidase enhancer 1,Procollagen C-endopeptidase enhancer 1
phosphatidylcholine transfer protein,Phosphatidylcholine transfer protein
prenylcysteine oxidase 1,Prenylcysteine oxidase 1
programmed cell death protein 10,Programmed cell death protein 10
programmed cell death 6-interacting protein,Programmed cell death 6-interacting protein
Phosphodiesterase,"cGMP-inhibited 3',5'-cyclic phosphodiesterase A"
Phosphodiesterase,"cGMP-specific 3',5'-cyclic phosphodiesterase"
Receptor protein-tyrosine kinase,Platelet-derived growth factor receptor beta
Protein disulfide-isomerase,Protein disulfide-isomerase A3
Protein disulfide-isomerase A4,Protein disulfide-isomerase A4
protein disulfide-isomerase A5,Protein disulfide-isomerase A5
Protein disulfide-isomerase A6,Protein disulfide-isomerase A6
PDZ and LIM domain protein 1,PDZ and LIM domain protein 1
PDZ and LIM domain protein 5,PDZ and LIM domain protein 5
PDZ and LIM domain protein 7,PDZ and LIM domain protein 7
Pyridoxal kinase,Pyridoxal kinase
platelet endothelial aggregation receptor 1,Platelet endothelial aggregation receptor 1
phosphatidylethanolamine-binding protein 1,Phosphatidylethanolamine-binding protein 1
phosphatidylethanolamine-binding protein 4,Phosphatidylethanolamine-binding protein 4
xaa-Pro dipeptidase,Xaa-Pro dipeptidase
